epoch,stats_ag/mean,stats_ag/std,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
137,0.8394654,0.12905753,0.84461087,0.14737199,0.20535368,0.13574079,1380.0,-1.1850588,1.0,6900.0,0.52
138,0.8395012,0.1290086,0.84464866,0.14731456,0.20528877,0.13577347,1390.0,-1.0692749,1.0,6950.0,0.46
139,0.8395973,0.12885654,0.8447542,0.14713123,0.20525685,0.13568808,1400.0,-1.2436082,1.0,7000.0,0.42
140,0.8396093,0.12901288,0.84477514,0.14721732,0.20526959,0.13575782,1410.0,-0.84699184,1.0,7050.0,0.4
141,0.8397536,0.1289693,0.84495,0.14713739,0.20526765,0.13569176,1420.0,-1.0541425,1.0,7100.0,0.4
142,0.83975214,0.12876095,0.84491175,0.14687991,0.20524924,0.13560237,1430.0,-1.329296,1.0,7150.0,0.56
143,0.83984655,0.12857458,0.84501386,0.14667164,0.205301,0.13551034,1440.0,-0.48410735,1.0,7200.0,0.5
144,0.83991766,0.12833735,0.8451192,0.14639807,0.20531538,0.13534956,1450.0,-1.3382967,1.0,7250.0,0.52
145,0.8399659,0.1281072,0.8451677,0.14613159,0.20533623,0.13520718,1460.0,-0.8809678,1.0,7300.0,0.52
146,0.8400449,0.12787412,0.8453071,0.14590895,0.20537424,0.1350105,1470.0,-1.0086195,1.0,7350.0,0.44
147,0.84009975,0.12781814,0.84536093,0.1458164,0.2053627,0.13512656,1480.0,-0.6398752,1.0,7400.0,0.48
148,0.8401179,0.12792818,0.8453923,0.14590578,0.20542604,0.1352583,1490.0,-1.220032,0.9,7450.0,0.44
149,0.840179,0.12779419,0.8454235,0.14573634,0.20543236,0.13531798,1500.0,-1.1670331,1.0,7500.0,0.44
150,0.8402651,0.12772854,0.845529,0.14565296,0.20541656,0.13533741,1510.0,-1.0474018,1.0,7550.0,0.48
151,0.8403128,0.12762922,0.84556216,0.14554836,0.20544334,0.13526434,1520.0,-0.9821555,0.9,7600.0,0.42
152,0.84031683,0.1275876,0.84558696,0.14550361,0.20546465,0.13521862,1530.0,-1.1805778,1.0,7650.0,0.48
153,0.8403404,0.12747319,0.8456146,0.14539684,0.20545067,0.13520561,1540.0,-1.1884375,1.0,7700.0,0.44
154,0.84040576,0.12751894,0.84569484,0.14540313,0.20549643,0.13525376,1550.0,-1.5525625,1.0,7750.0,0.48
155,0.8404269,0.12747529,0.8456969,0.14532153,0.2055189,0.13535345,1560.0,-0.69420487,1.0,7800.0,0.36
156,0.84053516,0.12728614,0.8457806,0.14507776,0.20549624,0.1352394,1570.0,-0.8440633,1.0,7850.0,0.48
157,0.8405819,0.127162,0.8458331,0.14493383,0.20551462,0.1352312,1580.0,-1.191707,1.0,7900.0,0.6
158,0.8406556,0.12701513,0.84592396,0.14477311,0.20556177,0.13507724,1590.0,-0.8380473,1.0,7950.0,0.48
159,0.84070015,0.12690409,0.8460009,0.14461206,0.20557913,0.13502859,1600.0,-1.0018237,1.0,8000.0,0.42
